ID Empleado,Edad,Género,Estado civil,Nivel educativo,Especialización,Años trabajando,Compañías empleadoras,Departamento,Cargo,Banda laboral,Sede,Frecuencia de viajes,Distancia al hogar,Ingresos mensuales,Nivel de stock options,Horas extraordinarias,Sesiones de formación,Años en la empresa,Años en el cargo,Años sin promocionar,Años con el mismo jefe,% Incremento salarial,Rendimiento,Satisfacción con el trabajo,Satisfacción con el ambiente,Satisfacción con las relaciones,Nivel de involucración,Balance de la vida laboral,Estado de la relación laboral,Tipo de desvinculación,Razón de la desvinculación,Turnover,GrupoEdad,Satisfaccion_bucket
ECU-0018,22,Masculino,Divorciado,2,Medicina,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Sin desplazamientos,16,2935,2,,2,1,0,0,0,13,3,4,4,2,4,2,Activa,,,0,<25,4
ECU-0019,53,Femenino,Casado,4,Ciencias de la vida,31,2,Ventas,Doroctor,4,Bilbao,Viajes ocasionales,2,15427,0,,3,25,8,3,7,16,3,4,1,3,2,3,Activa,,,0,45-54,4
ECU-0020,38,Masculino,Soltero,3,Ciencias de la vida,6,5,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,2,3944,0,,3,3,2,1,2,11,3,4,4,3,3,3,Activa,,,0,35-44,4
ECU-0021,24,Femenino,Divorciado,2,Otras,5,0,Investigación y desarrollo,Director de fabricación,2,Barcelona,Sin desplazamientos,11,4011,1,,5,4,2,1,3,18,3,3,1,4,4,2,Activa,,,0,<25,3
ECU-0022,36,Masculino,Soltero,4,Ciencias de la vida,10,7,Ventas,Representante de ventas,1,Bilbao,Viajes ocasionales,9,3407,0,,4,5,3,0,3,23,4,1,3,2,2,3,Finalizada,Voluntaria,Dimisión,1,35-44,1
ECU-0023,34,Femenino,Soltero,4,Ciencias de la vida,13,0,Investigación y desarrollo,Director de investigación,3,Madrid,Viajes ocasionales,7,11994,0,,4,12,6,2,11,11,3,2,1,3,3,3,Activa,,,0,25-34,2
ECU-0024,21,Masculino,Soltero,2,Ciencias de la vida,0,1,Investigación y desarrollo,Investigador,1,Barcelona,Viajes ocasionales,15,1232,0,,6,0,0,0,0,14,3,4,3,4,3,3,Activa,,,0,<25,4
ECU-0025,34,Masculino,Soltero,1,Medicina,8,2,Investigación y desarrollo,Investigador,1,Barcelona,Viajes ocasionales,6,2960,0,,2,4,2,1,3,11,2,1,2,3,3,3,Finalizada,Voluntaria,Dimisión,1,25-34,1
ECU-0026,53,Femenino,Divorciado,3,Otras,26,4,Investigación y desarrollo,Director,5,Madrid,Viajes ocasionales,5,19094,1,,3,14,13,4,8,11,3,3,3,4,3,2,Activa,,,0,45-54,3
ECU-0027,32,Femenino,Soltero,1,Ciencias de la vida,10,1,Investigación y desarrollo,Investigador,1,Barcelona,Viajes frecuentes,16,3919,0,,5,10,2,6,7,22,4,1,2,2,1,3,Finalizada,Voluntaria,Dimisión,1,25-34,1
ECU-0028,42,Masculino,Casado,4,Marketing,10,0,Ventas,Ejecutivo de ventas,2,Madrid,Viajes ocasionales,8,6825,1,,2,9,7,4,2,11,3,2,3,4,3,3,Activa,,,0,35-44,2
ECU-0029,44,Femenino,Casado,4,Medicina,24,3,Investigación y desarrollo,Representante sanitario,3,Barcelona,Viajes ocasionales,7,10248,1,,4,22,6,5,17,14,3,4,1,4,2,3,Activa,,,0,35-44,4
ECU-0030,46,Femenino,Soltero,4,Marketing,22,3,Ventas,Director,5,Madrid,Viajes ocasionales,2,18947,0,,2,2,2,2,1,12,3,1,2,4,3,2,Activa,,,0,45-54,1
ECU-0031,33,Masculino,Soltero,3,Medicina,7,4,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,2,2496,0,,3,1,1,0,0,11,3,4,3,4,3,3,Activa,,,0,25-34,4
ECU-0032,44,Masculino,Casado,4,Otras,9,2,Investigación y desarrollo,Representante sanitario,2,Barcelona,Viajes ocasionales,10,6465,0,,5,4,2,1,3,13,3,4,4,4,3,4,Activa,,,0,35-44,4
ECU-0033,30,Masculino,Soltero,2,Medicina,10,1,Investigación y desarrollo,Técnico de laboratorio,1,Madrid,Viajes ocasionales,9,2206,0,,5,10,0,1,8,13,3,3,4,1,2,3,Activa,,,0,25-34,3
ECU-0034,39,Masculino,Casado,3,Grado técnico,19,3,Ventas,Representante de ventas,2,Barcelona,Viajes ocasionales,5,2086,1,,6,1,0,0,0,14,2,4,4,3,3,4,Finalizada,Voluntaria,Dimisión,1,35-44,4
ECU-0035,24,Masculino,Casado,3,Medicina,6,2,Investigación y desarrollo,Investigador,1,Madrid,Viajes ocasionales,1,2293,1,,2,2,0,2,0,16,3,4,2,1,3,2,Finalizada,Voluntaria,Dimisión,1,<25,4
ECU-0036,43,Femenino,Divorciado,2,Medicina,6,1,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,2,2645,2,,3,5,3,1,4,12,3,3,4,4,4,2,Activa,,,0,35-44,3
ECU-0037,50,Masculino,Casado,2,Marketing,3,1,Ventas,Representante de ventas,1,Bilbao,Viajes ocasionales,3,2683,0,,2,3,2,0,2,14,3,3,1,3,2,3,Finalizada,Voluntaria,Jubilación,1,45-54,3
ECU-0038,35,Femenino,Casado,3,Marketing,2,1,Ventas,Representante de ventas,1,Bilbao,Viajes ocasionales,2,2014,0,,3,2,2,2,2,13,3,4,4,1,3,3,Activa,,,0,35-44,4
ECU-0039,36,Femenino,Casado,4,Ciencias de la vida,6,9,Investigación y desarrollo,Investigador,1,Barcelona,Viajes ocasionales,5,3419,1,,3,1,1,0,0,14,3,1,2,4,2,4,Activa,,,0,35-44,1
ECU-0040,33,Femenino,Casado,3,Ciencias de la vida,10,2,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes frecuentes,1,5376,2,,3,5,3,1,3,19,3,1,3,1,4,3,Activa,,,0,25-34,1
ECU-0041,35,Masculino,Divorciado,2,Otras,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Madrid,Viajes ocasionales,4,1951,1,,3,1,0,0,0,12,3,4,3,3,3,3,Activa,,,0,35-44,4
ECU-0042,27,Femenino,Divorciado,4,Ciencias de la vida,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Barcelona,Viajes ocasionales,2,2341,1,,6,1,0,0,0,13,3,1,4,4,3,3,Activa,,,0,25-34,1
ECU-0043,26,Masculino,Soltero,3,Ciencias de la vida,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,25,2293,0,,2,1,0,0,1,12,2,3,1,3,1,2,Finalizada,Voluntaria,Dimisión,1,25-34,3
ECU-0044,27,Masculino,Soltero,3,Ciencias de la vida,9,1,Ventas,Ejecutivo de ventas,3,Bilbao,Viajes frecuentes,8,8726,0,,0,9,8,1,7,15,3,3,4,4,3,3,Activa,,,0,25-34,3
ECU-0045,30,Femenino,Soltero,2,Medicina,12,1,Investigación y desarrollo,Técnico de laboratorio,2,Bilbao,Viajes frecuentes,1,4011,0,,2,12,8,3,7,23,4,4,3,4,3,3,Activa,,,0,25-34,4
ECU-0046,41,Femenino,Casado,3,Grado técnico,23,1,Investigación y desarrollo,Director de investigación,5,Bilbao,Viajes ocasionales,12,19545,0,,0,22,15,15,8,12,3,3,2,4,3,3,Finalizada,Voluntaria,Dimisión,1,35-44,3
ECU-0047,34,Masculino,Soltero,4,Marketing,10,0,Ventas,Ejecutivo de ventas,2,Madrid,Sin desplazamientos,23,4568,0,,2,9,5,8,7,20,4,3,2,3,3,3,Activa,,,0,25-34,3
ECU-0048,37,Masculino,Casado,2,Ciencias de la vida,8,4,Investigación y desarrollo,Investigador,1,Barcelona,Viajes ocasionales,19,3022,0,,1,1,0,0,0,21,4,2,2,1,3,3,Activa,,,0,35-44,2
ECU-0049,46,Masculino,Soltero,4,Marketing,14,4,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes frecuentes,5,5772,0,,4,9,6,0,8,21,4,4,1,3,3,3,Activa,,,0,45-54,4
ECU-0050,35,Masculino,Casado,1,Ciencias de la vida,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,8,2269,0,,2,1,0,0,1,19,3,4,4,4,4,3,Activa,,,0,35-44,4
ECU-0051,48,Masculino,Soltero,2,Ciencias de la vida,23,9,Investigación y desarrollo,Técnico de laboratorio,3,Barcelona,Viajes ocasionales,1,5381,0,,2,1,0,0,0,13,3,3,1,4,2,3,Finalizada,Voluntaria,Dimisión,1,45-54,3
ECU-0052,28,Masculino,Soltero,4,Grado técnico,2,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,5,3441,0,,3,2,2,2,2,13,3,3,3,3,3,2,Finalizada,Voluntaria,Dimisión,1,25-34,3
ECU-0053,44,Femenino,Divorciado,5,Marketing,9,5,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,1,5454,1,,2,4,3,1,3,21,4,1,2,3,3,2,Activa,,,0,35-44,1
ECU-0054,35,Masculino,Casado,2,Medicina,10,2,Investigación y desarrollo,Representante sanitario,3,Madrid,Sin desplazamientos,11,9884,1,,3,4,0,2,3,13,3,1,3,3,2,3,Activa,,,0,35-44,1
ECU-0055,26,Femenino,Casado,3,Marketing,5,7,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,23,4157,1,,2,2,2,0,0,19,3,4,3,3,2,2,Activa,,,0,25-34,4
ECU-0056,33,Femenino,Soltero,2,Ciencias de la vida,15,1,Investigación y desarrollo,Director de investigación,3,Bilbao,Viajes frecuentes,1,13458,0,,1,15,14,8,12,12,3,4,1,3,3,3,Activa,,,0,25-34,4
ECU-0057,35,Masculino,Casado,5,Ciencias de la vida,9,1,Ventas,Ejecutivo de ventas,3,Bilbao,Viajes frecuentes,18,9069,1,,3,9,8,1,8,22,4,1,2,4,3,2,Activa,,,0,35-44,1
ECU-0058,35,Femenino,Casado,4,Medicina,4,3,Investigación y desarrollo,Técnico de laboratorio,1,Madrid,Viajes ocasionales,23,4014,1,,3,2,2,2,2,15,3,1,3,3,3,3,Activa,,,0,35-44,1
ECU-0059,31,Masculino,Divorciado,4,Ciencias de la vida,10,3,Investigación y desarrollo,Técnico de laboratorio,2,Bilbao,Viajes ocasionales,7,5915,1,,3,7,7,1,7,22,4,4,4,4,3,2,Activa,,,0,25-34,4
ECU-0060,37,Masculino,Divorciado,4,Ciencias de la vida,7,1,Investigación y desarrollo,Director de fabricación,2,Bilbao,Viajes ocasionales,1,5993,1,,2,7,5,0,7,18,3,3,1,3,2,4,Activa,,,0,35-44,3
ECU-0061,32,Masculino,Casado,3,Medicina,9,1,Investigación y desarrollo,Director de fabricación,2,Bilbao,Viajes ocasionales,1,6162,1,,3,9,8,7,8,22,4,4,1,2,3,3,Activa,,,0,25-34,4
ECU-0062,38,Femenino,Soltero,5,Ciencias de la vida,10,1,Investigación y desarrollo,Técnico de laboratorio,2,Barcelona,Viajes frecuentes,29,2406,0,,2,10,3,9,9,11,3,4,4,4,3,3,Activa,,,0,35-44,4
ECU-0063,50,Femenino,Divorciado,2,Medicina,29,5,Investigación y desarrollo,Director de investigación,5,Bilbao,Viajes ocasionales,7,18740,1,,2,27,3,13,8,12,3,3,2,4,2,2,Activa,,,0,45-54,3
ECU-0064,59,Femenino,Soltero,3,Ciencias de la vida,28,7,Ventas,Ejecutivo de ventas,3,Madrid,Viajes ocasionales,25,7637,0,,3,21,16,7,9,11,3,1,1,4,3,2,Activa,,,0,55+,1
ECU-0065,360,Femenino,Divorciado,3,Grado técnico,17,1,Investigación y desarrollo,Representante sanitario,3,Madrid,Viajes ocasionales,8,10096,3,,2,17,14,12,8,13,3,3,3,2,3,3,Activa,,,0,,3
ECU-0066,55,Femenino,Divorciado,3,Medicina,21,2,Investigación y desarrollo,Director,4,Bilbao,Viajes ocasionales,8,14756,3,,2,5,0,0,2,14,3,3,4,3,3,3,Activa,,,0,55+,3
ECU-0067,36,Masculino,Soltero,3,Ciencias de la vida,6,1,Investigación y desarrollo,Director de fabricación,2,Bilbao,Viajes frecuentes,11,6499,0,,3,6,5,0,3,13,3,2,2,3,2,3,Activa,,,0,35-44,2
ECU-0068,45,Masculino,Divorciado,3,Ciencias de la vida,25,2,Investigación y desarrollo,Investigador,3,Bilbao,Viajes ocasionales,7,9724,1,,2,1,0,0,0,17,3,1,2,3,3,3,Activa,,,0,45-54,1
ECU-0069,35,Masculino,Casado,3,Medicina,5,4,Investigación y desarrollo,Investigador,1,Madrid,Viajes frecuentes,1,2194,1,,2,3,2,1,2,13,3,1,2,4,3,2,Activa,,,0,35-44,1
ECU-0070,36,Masculino,Casado,3,Medicina,2,0,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,9,3388,1,,0,1,0,0,0,17,2,3,4,1,2,2,Finalizada,Voluntaria,Dimisión,1,35-44,3
ECU-0071,59,Femenino,Soltero,1,Ciencias de la vida,20,7,Ventas,Ejecutivo de ventas,2,Barcelona,Viajes frecuentes,1,5473,0,,2,4,3,1,3,11,3,3,1,4,2,2,Activa,,,0,55+,3
ECU-0072,29,Masculino,Casado,3,Ciencias de la vida,6,0,Investigación y desarrollo,Investigador,1,Madrid,Viajes ocasionales,2,27038,1,,3,5,4,0,4,23,4,2,3,4,3,3,Activa,,,0,25-34,2
ECU-0073,31,Masculino,Soltero,4,Medicina,1,1,Investigación y desarrollo,Investigador,1,Barcelona,Viajes ocasionales,1,2501,0,,4,1,1,1,0,17,3,2,3,2,3,3,Activa,,,0,25-34,2
ECU-0074,32,Masculino,Casado,3,Ciencias de la vida,10,1,Investigación y desarrollo,Investigador,2,Madrid,Viajes ocasionales,1,6220,2,,3,10,4,0,9,17,3,2,2,2,3,3,Activa,,,0,25-34,2
ECU-0075,36,Femenino,Casado,3,Ciencias de la vida,5,3,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,6,3038,0,,3,1,0,0,0,12,3,4,2,2,4,3,Activa,,,0,35-44,4
ECU-0076,31,Femenino,Soltero,4,Ciencias de la vida,11,1,Investigación y desarrollo,Director de fabricación,2,Madrid,Viajes ocasionales,8,4424,0,,2,11,7,1,8,23,4,4,3,4,3,3,Activa,,,0,25-34,4
ECU-0077,35,Masculino,Soltero,4,Marketing,16,0,Ventas,Ejecutivo de ventas,2,Barcelona,Viajes ocasionales,1,4312,0,,2,15,13,2,8,14,3,1,3,2,2,3,Activa,,,0,35-44,1
ECU-0078,45,Masculino,Casado,4,Otras,17,4,Investigación y desarrollo,Director de investigación,3,Barcelona,Viajes ocasionales,6,13245,0,,3,0,0,0,0,14,3,1,4,2,3,4,Activa,,,0,45-54,1
ECU-0079,37,Masculino,Soltero,4,Medicina,16,4,Investigación y desarrollo,Director de investigación,3,Bilbao,Viajes ocasionales,7,13664,0,,3,5,2,0,2,13,3,3,1,1,3,4,Activa,,,0,35-44,3
ECU-0080,46,Masculino,Divorciado,2,Medicina,16,8,Recursos humanos,Gestor de personal,2,Bilbao,Viajes ocasionales,5,5021,1,,2,4,2,0,2,22,4,2,2,4,3,3,Activa,,,0,45-54,2
ECU-0081,30,Masculino,Casado,1,Ciencias de la vida,10,1,Investigación y desarrollo,Técnico de laboratorio,2,Madrid,Viajes ocasionales,1,5126,2,,1,10,8,3,0,12,3,4,4,3,2,2,Activa,,,0,25-34,4
ECU-0082,35,Masculino,Soltero,3,Medicina,6,1,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,1,2859,0,,3,6,4,0,4,18,3,3,2,1,2,3,Activa,,,0,35-44,3
ECU-0083,55,Masculino,Casado,2,Ciencias de la vida,24,3,Ventas,Ejecutivo de ventas,3,Barcelona,Viajes ocasionales,1,10239,1,,4,1,0,1,0,14,3,4,1,4,3,3,Activa,,,0,55+,4
ECU-0084,38,Femenino,Divorciado,3,Medicina,17,7,Investigación y desarrollo,Investigador,2,Barcelona,Sin desplazamientos,6,5329,3,,3,13,11,1,9,12,3,4,2,4,1,3,Activa,,,0,35-44,4
ECU-0085,34,Masculino,Casado,2,Medicina,5,1,Investigación y desarrollo,Director de fabricación,2,Bilbao,Viajes ocasionales,1,4325,0,,2,5,2,1,3,15,3,2,1,3,3,3,Activa,,,0,25-34,2
ECU-0086,56,Masculino,Soltero,3,Ciencias de la vida,37,4,Investigación y desarrollo,Director de fabricación,3,Bilbao,Viajes ocasionales,7,7260,0,,3,6,4,0,2,11,3,4,4,1,1,2,Activa,,,0,55+,4
ECU-0087,23,Masculino,Divorciado,1,Grado técnico,3,3,Ventas,Representante de ventas,1,Barcelona,Viajes ocasionales,2,2322,1,,3,0,0,0,0,13,3,1,3,3,3,3,Activa,,,0,<25,1
ECU-0088,51,Masculino,Casado,4,Ciencias de la vida,10,3,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,9,2075,2,,4,4,2,0,3,23,4,4,4,2,3,3,Activa,,,0,45-54,4
ECU-0089,30,Masculino,Casado,3,Ciencias de la vida,11,1,Investigación y desarrollo,Representante sanitario,2,Bilbao,Viajes ocasionales,2,4152,3,,3,11,10,10,8,19,3,4,3,1,2,3,Activa,,,0,25-34,4
ECU-0090,46,Masculino,Soltero,2,Medicina,9,1,Ventas,Ejecutivo de ventas,3,Madrid,Viajes ocasionales,9,9619,0,,3,9,8,4,7,16,3,4,3,4,2,3,Finalizada,Voluntaria,Dimisión,1,45-54,4
ECU-0091,40,Masculino,Casado,4,Ciencias de la vida,22,1,Investigación y desarrollo,Representante sanitario,4,Barcelona,Viajes frecuentes,1,13503,1,,3,22,3,11,11,22,4,2,3,4,2,2,Activa,,,0,35-44,2
ECU-0092,51,Masculino,Soltero,4,Marketing,11,0,Ventas,Ejecutivo de ventas,2,Madrid,Viajes ocasionales,21,5441,0,,2,10,7,1,0,22,4,4,3,4,3,1,Activa,,,0,45-54,4
ECU-0093,30,Femenino,Divorciado,2,Medicina,11,1,Ventas,Ejecutivo de ventas,2,Madrid,Viajes ocasionales,4,5209,3,,4,11,8,2,7,12,3,2,3,2,2,2,Activa,,,0,25-34,2
ECU-0094,46,Masculino,Casado,3,Medicina,21,2,Investigación y desarrollo,Representante sanitario,3,Barcelona,Viajes frecuentes,1,10673,1,,5,10,9,9,5,13,3,1,3,3,2,2,Activa,,,0,45-54,1
ECU-0095,32,Masculino,Soltero,4,Medicina,12,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,6,5010,0,,0,11,8,5,7,16,3,3,2,1,3,3,Activa,,,0,25-34,3
ECU-0096,54,Femenino,Casado,4,Grado técnico,16,9,Investigación y desarrollo,Director de investigación,3,Bilbao,Viajes ocasionales,2,13549,1,,5,4,3,0,3,12,3,3,1,1,3,1,Activa,,,0,45-54,3
ECU-0097,24,Femenino,Casado,2,Otras,4,0,Ventas,Ejecutivo de ventas,2,Barcelona,Viajes ocasionales,3,4999,1,,2,3,2,0,2,21,4,3,1,1,3,2,Activa,,,0,<25,3
ECU-0098,28,Masculino,Casado,3,Medicina,5,1,Ventas,Ejecutivo de ventas,2,Bilbao,Sin desplazamientos,4,4221,0,,3,5,4,0,4,15,3,3,2,2,3,4,Activa,,,0,25-34,3
ECU-0099,58,Masculino,Soltero,4,Medicina,38,0,Ventas,Ejecutivo de ventas,4,Madrid,Viajes ocasionales,10,13872,0,,1,37,10,1,8,13,3,3,4,3,3,2,Activa,,,0,55+,3
ECU-0100,44,Masculino,Casado,3,Medicina,17,4,Investigación y desarrollo,Técnico de laboratorio,2,Barcelona,Sin desplazamientos,23,2042,1,,3,3,2,1,2,12,3,2,2,3,3,4,Activa,,,0,35-44,2
ECU-0101,37,Masculino,Divorciado,4,Recursos humanos,7,4,Recursos humanos,Gestor de personal,1,Madrid,Viajes ocasionales,6,2073,0,,3,3,2,0,2,22,4,1,3,4,3,3,Finalizada,Voluntaria,Dimisión,1,35-44,1
ECU-0102,32,Masculino,Soltero,1,Ciencias de la vida,1,1,Investigación y desarrollo,Investigador,1,Barcelona,Viajes ocasionales,1,2956,0,,2,1,0,0,0,13,3,1,4,4,3,3,Activa,,,0,25-34,1
ECU-0103,20,Femenino,Soltero,3,Ciencias de la vida,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Barcelona,Viajes frecuentes,6,2926,0,,5,1,0,1,0,18,3,4,4,2,2,3,Finalizada,Voluntaria,Dimisión,1,<25,4
ECU-0104,34,Femenino,Soltero,4,Otras,16,1,Investigación y desarrollo,Investigador,2,Bilbao,Viajes ocasionales,6,4809,0,,3,16,13,2,10,14,3,3,1,3,3,3,Activa,,,0,25-34,3
ECU-0105,37,Masculino,Divorciado,2,Ciencias de la vida,17,5,Investigación y desarrollo,Representante sanitario,2,Barcelona,Sin desplazamientos,2,5163,1,,2,1,0,0,0,14,3,4,3,4,2,4,Activa,,,0,35-44,4
ECU-0106,59,Femenino,Casado,4,Recursos humanos,30,9,Recursos humanos,Director,5,Bilbao,Sin desplazamientos,2,18844,1,,3,3,2,2,2,21,4,4,3,4,2,3,Activa,,,0,55+,4
ECU-0107,50,Femenino,Casado,3,Ciencias de la vida,28,3,Investigación y desarrollo,Director de investigación,5,Barcelona,Viajes frecuentes,1,18172,0,,1,8,3,0,7,19,3,2,1,1,3,2,Activa,,,0,45-54,2
ECU-0108,25,Masculino,Soltero,3,Marketing,6,1,Ventas,Ejecutivo de ventas,2,Bilbao,Viajes ocasionales,5,5744,0,,1,6,4,0,3,11,3,3,3,4,2,3,Finalizada,Voluntaria,Dimisión,1,25-34,3
ECU-0109,25,Masculino,Casado,1,Medicina,2,1,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,7,2889,2,,2,2,2,2,1,11,3,4,4,3,2,3,Activa,,,0,25-34,4
ECU-0110,22,Femenino,Soltero,3,Medicina,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,15,2871,0,,5,0,0,0,0,15,3,4,2,3,3,3,Activa,,,0,<25,4
ECU-0111,51,Femenino,Soltero,4,Medicina,23,3,Investigación y desarrollo,Representante sanitario,3,Barcelona,Viajes frecuentes,1,7484,0,,1,13,12,12,8,20,4,1,1,3,2,2,Activa,,,0,45-54,1
ECU-0112,34,Masculino,Soltero,3,Ciencias de la vida,9,1,Investigación y desarrollo,Técnico de laboratorio,2,Madrid,Viajes frecuentes,7,6074,0,,3,9,7,0,6,24,4,3,1,4,1,3,Finalizada,Voluntaria,Dimisión,1,25-34,3
ECU-0113,54,Femenino,Soltero,3,Recursos humanos,23,2,Recursos humanos,Doroctor,4,Madrid,Sin desplazamientos,26,17328,0,,3,5,3,4,4,12,3,4,4,3,4,3,Activa,,,0,45-54,4
ECU-0114,24,Masculino,Casado,1,Ciencias de la vida,6,0,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,18,2774,1,,2,5,3,1,2,12,3,3,2,3,3,3,Activa,,,0,<25,3
ECU-0115,34,Femenino,Divorciado,4,Ciencias de la vida,12,6,Investigación y desarrollo,Investigador,2,Madrid,Viajes ocasionales,6,4505,1,,3,1,0,0,0,15,3,2,3,3,2,3,Activa,,,0,25-34,2
